Вся площадь: 1569049
Сумарная площадь язв: 28250
Сумарная коричневых участков: 59379
Отношение площади язв к всей площади: 0.018
Отношение площади язв к коричневым участкам: 0.476
Отношение площади коричневых участков к всей площади: 0.038
Отношение площади язв и коричневых участков к всей площади: 0.056
 Площадь и размер каждого контура языв:
Площадь контура 1: 4840, длина 152.9, высота 55.2
Площадь контура 2: 3707, длина 139.0, высота 43.3
Площадь контура 3: 3692, длина 177.9, высота 28.3
Площадь контура 4: 1710, длина 102.1, высота 24.0
Площадь контура 5: 1232, длина 45.2, высота 28.6
Площадь контура 6: 1054, длина 75.3, высота 31.1
Площадь контура 7: 1012, длина 83.7, высота 15.7
Площадь контура 8: 988, длина 71.1, высота 24.1
Площадь контура 9: 968, длина 87.6, высота 20.1
Площадь контура 10: 928, длина 61.1, высота 24.1
Площадь контура 11: 785, длина 52.2, высота 20.9
Площадь контура 12: 730, длина 28.0, высота 35.0
Площадь контура 13: 720, длина 42.5, высота 26.9
Площадь контура 14: 714, длина 71.3, высота 16.2
Площадь контура 15: 478, длина 35.7, высота 17.5
Площадь контура 16: 392, длина 22.5, высота 25.6
Площадь контура 17: 371, длина 33.1, высота 14.1
Площадь контура 18: 342, длина 23.8, высота 22.8
Площадь контура 19: 301, длина 22.2, высота 20.2
Площадь контура 20: 288, длина 26.8, высота 17.9
Площадь контура 21: 241, длина 22.0, высота 15.0
Площадь контура 22: 232, длина 20.1, высота 14.3
Площадь контура 23: 224, длина 31.1, высота 11.0
Площадь контура 24: 184, длина 13.0, высота 19.1
Площадь контура 25: 162, длина 15.0, высота 15.0
Площадь контура 26: 160, длина 18.2, высота 11.2
Площадь контура 27: 147, длина 18.0, высота 10.0
Площадь контура 28: 120, длина 24.2, высота 9.2
Площадь контура 29: 108, длина 10.0, высота 15.1
Площадь контура 30: 108, длина 14.9, высота 9.8
Площадь контура 31: 106, длина 13.0, высота 11.0
Площадь контура 32: 104, длина 14.3, высота 9.8
Площадь контура 33: 102, длина 14.6, высота 9.5
Площадь контура 34: 98, длина 13.0, высота 10.8
Площадь контура 35: 92, длина 12.6, высота 9.5
Площадь контура 36: 74, длина 14.4, высота 7.2
Площадь контура 37: 74, длина 11.2, высота 8.9
Площадь контура 38: 68, длина 15.1, высота 6.1
Площадь контура 39: 66, длина 10.8, высота 8.5
Площадь контура 40: 63, длина 9.9, высота 7.1
Площадь контура 41: 46, длина 9.2, высота 7.3
Площадь контура 42: 46, длина 9.0, высота 7.0
Площадь контура 43: 38, длина 9.2, высота 2.8
Площадь контура 44: 32, длина 8.2, высота 6.3
Площадь контура 45: 32, длина 9.2, высота 5.1
Площадь контура 46: 25, длина 7.3, высота 4.1
Площадь контура 47: 23, длина 6.7, высота 4.5
Площадь контура 48: 21, длина 6.1, высота 5.1
Площадь контура 49: 18, длина 6.3, высота 4.5
Площадь контура 50: 18, длина 5.4, высота 4.5
Площадь контура 51: 12, длина 4.5, высота 3.6
Площадь контура 52: 12, длина 4.1, высота 4.1
Площадь контура 53: 12, длина 4.0, высота 4.0
Площадь контура 54: 12, длина 4.5, высота 3.6
Площадь контура 55: 12, длина 3.2, высота 3.6
Площадь контура 56: 11, длина 4.0, высота 4.0
Площадь контура 57: 8, длина 3.0, высота 4.0
Площадь контура 58: 8, длина 4.0, высота 3.0
Площадь контура 59: 8, длина 2.0, высота 3.0
Площадь контура 60: 8, длина 2.0, высота 3.0
Площадь контура 61: 8, длина 3.0, высота 4.0
Площадь контура 62: 7, длина 3.2, высота 3.2
Площадь контура 63: 6, длина 2.0, высота 4.0
Площадь контура 64: 4, длина 2.2, высота 3.6
Площадь контура 65: 4, длина 2.0, высота 3.0
Площадь контура 66: 4, длина 2.0, высота 3.0
Площадь контура 67: 4, длина 2.0, высота 3.0
Площадь контура 68: 2, длина 2.0, высота 2.0
Площадь контура 69: 2, длина 2.0, высота 2.0
Площадь контура 70: 2, длина 2.0, высота 2.0
Площадь контура 71: 2, длина 2.0, высота 2.0
Площадь контура 72: 2, длина 2.0, высота 2.0
Площадь контура 73: 2, длина 2.0, высота 2.0
Площадь контура 74: 2, длина 2.0, высота 2.0
Площадь контура 75: 2, длина 2.0, высота 2.0
Площадь контура 76: 2, длина 2.0, высота 2.0
Площадь контура 77: 2, длина 2.0, высота 2.0
Площадь контура 78: 2, длина 2.0, высота 2.0
Площадь контура 79: 2, длина 2.0, высота 2.0
Площадь контура 80: 2, длина 4.5, высота 2.2
Площадь контура 81: 1, длина 2.0, высота 1.0
Площадь контура 82: 0, длина 3.2, высота -1
Площадь контура 83: 0, длина 1.4, высота -1
Площадь контура 84: 0, длина 0.0, высота -1
Площадь контура 85: 0, длина 0.0, высота -1
Площадь контура 86: 0, длина 0.0, высота -1
Площадь контура 87: 0, длина 0.0, высота -1
